Maxtm	VSB	V0    
30	100      1.0

N	Nb	Nt	Ng	Nl
118    185      9       54     100

i	   j      R	    X      b/2(YK)
1      2          0.0303        0.0999        0.0127
1      3          0.0129        0.0424        0.0054
4      5          0.0018        0.0080        0.0010
3      5          0.0241        0.1080        0.0142
5      6          0.0119        0.0540        0.0071
6      7          0.0046        0.0208        0.0027
8      9          0.0024        0.0305        0.5810
9      10         0.0026        0.0322        0.6150
4      11         0.0209        0.0688        0.0087
5      11         0.0203        0.0682        0.0087
11     12         0.0060        0.0196        0.0025
2      12         0.0187        0.0616        0.0079
3      12         0.0484        0.1600        0.0203
7      12         0.0086        0.0340        0.0044
11     13         0.0222        0.0731        0.0094
12     14         0.0215        0.0707        0.0091
13     15         0.0744        0.2444        0.0313
14     15         0.0595        0.1950        0.0251
12     16         0.0212        0.0834        0.0107
15     17         0.0132        0.0437        0.0222
16     17         0.0454        0.1801        0.0233
17     18         0.0123        0.0505        0.0065
18     19         0.0112        0.0493        0.0057
19     20         0.0252        0.1170        0.0149
15     19         0.0120        0.0394        0.0050
20     21         0.0183        0.0849        0.0108
21     22         0.0209        0.0970        0.0123
22     23         0.0342        0.1590        0.0202
23     24         0.0135        0.0492        0.0249
23     25         0.0156        0.0800        0.0432
25     27         0.0318        0.1630        0.0882
27     28         0.0191        0.0855        0.0108
28     29         0.0237        0.0943        0.0119
8      30         0.0043        0.0504        0.2570
26     30         0.0080        0.0860        0.4540
17     31         0.0474        0.1563        0.0199
29     31         0.0108        0.0331        0.0042
23     32         0.0317        0.1153        0.0587
31     32         0.0298        0.0985        0.0126
27     32         0.0229        0.0755        0.0096
15     33         0.0380        0.1244        0.0160
19     34         0.0752        0.2470        0.0316
35     36         0.0022        0.0102        0.0012
35     37         0.0110        0.0497        0.0066
33     37         0.0415        0.1420        0.0183   
34     36         0.0087        0.0268        0.0028
34     37         0.0026        0.0094        0.0043
37     39         0.0321        0.1060        0.0135
37     40         0.0593        0.1680        0.0210
30     38         0.0046        0.0540        0.2110
39     40         0.0184        0.0605        0.0078
40     41         0.0145        0.0487        0.0061
40     42         0.0555        0.1830        0.0233
41     42         0.0410        0.1350        0.0172
43     44         0.0608        0.2454        0.0303
34     43         0.0413        0.1681        0.0211
44     45         0.0224        0.0901        0.0112
45     46         0.0400        0.1356        0.0166
46     47         0.0380        0.1270        0.0158
46     48         0.0601        0.1890        0.0236
47     49         0.0191        0.0625        0.0080
42     49         0.0357        0.1615        0.0860
45     49         0.0684        0.1860        0.0222
48     49         0.0179        0.0505        0.0063
49     50         0.0267        0.0752        0.0094
49     51         0.0486        0.1370        0.0171 
51     52         0.0203        0.0588        0.0070
52     53         0.0405        0.1635        0.0203
53     54         0.0263        0.1220        0.0155
49     54         0.0398        0.1450        0.0734 
54     55         0.0169        0.0707        0.0101
54     56         0.0027        0.0095        0.0037
55     56         0.0049        0.0151        0.0019
56     57         0.0343        0.0966        0.0121 
50     57         0.0474        0.1340        0.0166
56     58         0.0343        0.0966        0.0121
51     58         0.0255        0.0719        0.0089
54     59         0.0503        0.2293        0.0299
56     59         0.0407        0.1244        0.0553
55     59         0.0474        0.2158        0.0282
59     60         0.0317        0.1450        0.0188
59     61         0.0328        0.1500        0.0194
60     61         0.0026        0.0135        0.0073
60     62         0.0123        0.0561        0.0073
61     62         0.0082        0.0376        0.0049
63     64         0.0017        0.0200        0.1080
38     65         0.0090        0.0986        0.5230
64     65         0.0027        0.0302        0.1900
49     66         0.0090        0.0459        0.0248
62     66         0.0482        0.2180        0.0289
62     67         0.0258        0.1170        0.0155
66     67         0.0224        0.1015        0.0134
65     68         0.0014        0.0160        0.3190
47     69         0.0844        0.2778        0.0355
49     69         0.0985        0.3240        0.0414
69     70         0.0300        0.1270        0.0610 
24     70         0.1022        0.4115        0.0510
70     71         0.0088        0.0355        0.0044
24     72         0.0488        0.1960        0.0244
71     72         0.0446        0.1800        0.0222
71     73         0.0087        0.0454        0.0059
70     74         0.0401        0.1323        0.0168
70     75         0.0428        0.1410        0.0180
69     75         0.0405        0.1220        0.0620
74     75         0.0123        0.0406        0.0052
76     77         0.0444        0.1480        0.0184
69     77         0.0309        0.1010        0.0519
75     77         0.0601        0.1999        0.0249
77     78         0.0038        0.0124        0.0063
78     79         0.0055        0.0244        0.0032
77     80         0.0108        0.0332        0.0350
79     80         0.0156        0.0704        0.0095
68     81         0.0018        0.0202        0.4040
77     82         0.0298        0.0853        0.0409
82     83         0.0112        0.0367        0.0190
83     84         0.0625        0.1320        0.0129
83     85         0.0430        0.1480        0.0174
84     85         0.0302        0.0641        0.0062
85     86         0.0350        0.1230        0.0138
86     87         0.0283        0.2074        0.0222
85     88         0.0200        0.1020        0.0138
85     89         0.0239        0.1730        0.0235
88     89         0.0139        0.0712        0.0097
89     90         0.0163        0.0652        0.0794
90     91         0.0254        0.0836        0.0107
89     92         0.0079        0.0383        0.0481
91     92         0.0387        0.1272        0.0163
92     93         0.0258        0.0848        0.0109 
92     94         0.0481        0.1580        0.0203
93     94         0.0223        0.0732        0.0094
94     95         0.0132        0.0434        0.0056
80     96         0.0356        0.1820        0.0247
82     96         0.0162        0.0530        0.0272
94     96         0.0269        0.0869        0.0115
80     97         0.0183        0.0934        0.0127
80     98         0.0238        0.1080        0.0143
80     99         0.0454        0.2060        0.0273
92    100         0.0648        0.2950        0.0386
94    100         0.0178        0.0580        0.0302
95     96         0.0171        0.0547        0.0074
96     97         0.0173        0.0885        0.0120
98    100         0.0397        0.1790        0.0238
99    100         0.0180        0.0813        0.0108
100   101         0.0277        0.1262        0.0164
92   102          0.0123        0.0559        0.0073
101   102         0.0246        0.1120        0.0147
100   103         0.0160        0.0525        0.0268
100   104         0.0451        0.2040        0.0271
103   104         0.0466        0.1584        0.0204
103   105         0.0535        0.1625        0.0204
100   106         0.0605        0.2290        0.0310
104   105         0.0099        0.0378        0.0049
105   106         0.0140        0.0547        0.0072
105   107         0.0530        0.1830        0.0236
