Mmax	SB	V0
30	100	1.0

N	Nb	Nt	Ng	Nl
14	18	3	5	11

i	j	R		X		b/2(YK)
1	2	0.01938		0.05917 	0.02640
2	3	0.04699		0.19797 	0.02190
2	4	0.05811		0.17632 	0.01870
1	5	0.05403 	0.22304 	0.02460
2	5	0.05695 	0.17388 	0.01700
3	4	0.06701 	0.17103 	0.01730
4	5	0.01335 	0.04211 	0.00640
7	8	0.00000 	0.17615 	0.00000
7	9	0.00000 	0.11001 	0.00000
9	10	0.03181 	0.08450 	0.00000
9	9	0.00000 	5.26316		0.000000
6	11	0.09498 	0.19890 	0.00000
6	12	0.12291 	0.25581 	0.00000
6	13	0.06615 	0.13027 	0.00000
9	14	0.12711 	0.27038 	0.00000
10	11	0.08205 	0.19207 	0.00000
12	13	0.22092 	0.19988 	0.00000
13	14	0.17093 	0.34802 	0.00000
9	4	0.00000 	0.55618 	0.96900
6	5	0.00000 	0.25202 	0.93200	
7	4	0.00000 	0.20912 	0.97800

i	type	P		Q		V    
1     0    0                  0  1.060000
2    -1    0.400000           0  1.045000
3    -1    0.000000           0  1.010000
6    -1    0.000000           0  1.070000
8    -1    0.000000           0  1.090000	    
2     1    0.217000    0.127000         0
3     1    0.942000    0.190000         0
4     1    0.478000   -0.039000         0
5     1    0.076000    0.016000         0
6     1    0.112000    0.075000         0
9     1    0.295000    0.166000         0
10     1    0.090000    0.058000         0
11     1    0.035000    0.018000         0
12     1    0.061000    0.016000         0
13     1    0.135000    0.058000         0
14     1    0.149000    0.050000         0

   
