Maxtm	SB	V0
20	100.00	1.0

N	Nb	Nt	Ng	Nl
30	39	4	6	21

i    j    R         X	      b/2(YK)
1              2                     0.019200       0.057500       0.026400
1              3                     0.045200       0.185200       0.020400
2              4                     0.057000       0.173700       0.018400
3              4                     0.013200       0.037900       0.004200
2              5                     0.047200       0.198300       0.020900
2              6                     0.058100       0.176300       0.018700
4              6                     0.011900       0.041400       0.004500
5              7                     0.046000       0.116000       0.010200
6              7                     0.026700       0.082000       0.008500
6              8                     0.012000       0.042000       0.004500
9              11                    0.000000       0.208000       0.000000
9              10                    0.000000       0.110000       0.000000
12             13                    0.000000       0.140000       0.000000
12             14                    0.123100       0.255900       0.000000
12             15                    0.066200       0.130400       0.000000
12             16                    0.094500       0.198700       0.000000
14             15                    0.221000       0.199700       0.000000
16             17                    0.052400       0.193200       0.000000
15             18                    0.107000       0.218500       0.000000
18             19                    0.063900       0.129200       0.000000
19             20                    0.034000       0.068000       0.000000
10    	       10       	    0.0            5.263158       0.0
10             20                    0.093600       0.209000       0.000000
10             17                    0.032400       0.084500       0.000000
10             21                    0.034800       0.074900       0.000000
10             22                    0.072700       0.149900       0.000000
21             22                    0.011600       0.023600       0.000000
15             23                    0.100000       0.202000       0.000000
22             24                    0.115000       0.179000       0.000000
23             24                    0.132000       0.270000       0.000000
24             24                   0.0            23.25581       0.0
24             25                    0.188500       0.329200       0.000000
25             26                    0.255400       0.380000       0.000000
25             27                    0.109300       0.208700       0.000000
27             29                    0.219800       0.415300       0.000000
27             30                    0.320200       0.602700       0.000000
29             30                    0.239900       0.453300       0.000000
8              28                    0.063600       0.200000       0.021400
6              28                    0.016900       0.059900       0.006500
6              9                    0.000000       0.208000       0.978000
6              10                    0.000000       0.556000       0.969000
4              12                    0.000000       0.256000       0.932000
28             27                   0.000000       0.396000       0.968000


i            type        P         Q         V
1                 0       0.000000       0		1.060000
2                -1       0.400000       0	        1.045000
5                -1       0.000000       0		1.010000
8                -1       0.000000       0		1.010000
11               -1       0.000000       0		1.082000
13               -1       0.000000       0		1.071000
2                 1       0.217          0.127          0
3                 1       0.024000       0.012000       0.000000
4                 1       0.076000       0.016000       0.000000
5                 1       0.942          0.19           0
7                 1       0.228000       0.109000       0.000000
8                 1       0.3            0.3            0
10                1       0.058000       0.020000       0.000000
12                1       0.112000       0.075000       0.000000
14                1       0.062000       0.016000       0.000000
15                1       0.082000       0.025000       0.000000
16                1       0.035000       0.018000       0.000000
17                1       0.090000       0.058000       0.000000
18                1       0.032000       0.009000       0.000000
19                1       0.095000       0.034000       0.000000
20                1       0.022000       0.007000       0.000000
21                1       0.175000       0.112000       0.000000
23                1       0.032000       0.016000       0.000000
24                1       0.087000       0.067000       0.000000
26                1       0.035000       0.023000       0.000000
29                1       0.024000       0.009000       0.000000
30                1       0.106000       0.019000       0.000000
