Maxtm	VSB	V0    
30	100     1.0

N	Nb	Nt	Ng	Nl
57      66      15      7       42

i	   j				R 		X		b/2(YK)   
1              2                     0.008300       0.028000       0.064500
2              3                     0.029800       0.085000       0.040900
3              4                     0.011200       0.036600       0.019000
4              5                     0.062500       0.132000       0.012900
4              6                     0.043000       0.148000       0.017400
6              7                     0.020000       0.102000       0.013800
6              8                     0.033900       0.173000       0.023500
8              9                     0.009900       0.050500       0.027400
9              10                    0.036900       0.167900       0.022000
9              11                    0.025800       0.084800       0.010900
9              12                    0.064800       0.295000       0.038600
9              13                    0.048100       0.158000       0.020300
13             14                    0.013200       0.043400       0.005500
13             15                    0.026900       0.086900       0.011500
1              15                    0.017800       0.091000       0.049400
1              16                    0.045400       0.206000       0.027300
1              17                    0.023800       0.108000       0.014300
3              15                    0.016200       0.053000       0.027200
5              6                     0.030200       0.064100       0.006200
7              8                     0.013900       0.071200       0.009700
10             12                    0.027700       0.126200       0.016400
11             13                    0.022300       0.073200       0.009400
12             13                    0.017800       0.058000       0.030200
12             16                    0.018000       0.081300       0.010800
12             17                    0.039700       0.179000       0.023800
14             15                    0.017100       0.054700       0.007400
18             19                    0.461000       0.685000       0.000000
18	       18                    0.0000	    10.00	   0
19             20                    0.283000       0.434000       0.000000
21             22                    0.073600       0.117000       0.000000
22             23                    0.009900       0.015200       0.000000
23             24                    0.166000       0.256000       0.004200
25	       25                    0.0000	    16.94915	   0
26             27                    0.165000       0.254000       0.000000
27             28                    0.061800       0.095400       0.000000
28             29                    0.041800       0.058700       0.000000
25             30                    0.135000       0.202000       0.000000
30             31                    0.326000       0.497000       0.000000
31             32                    0.507000       0.755000       0.000000
32             33                    0.039200       0.036000       0.000000
34             35                    0.052000       0.078000       0.001600
35             36                    0.043000       0.053700       0.000800
36             37                    0.029000       0.036600       0.000000
37             38                    0.065100       0.100900       0.001000
37             39                    0.023900       0.037900       0.000000
36             40                    0.030000       0.046600       0.000000
22             38                    0.019200       0.029500       0.000000
41             42                    0.207000       0.352000       0.000000
41             43                    0.000000       0.412000       0.000000
38             44                    0.028900       0.058500       0.001000
46             47                    0.023000       0.068000       0.001600
47             48                    0.018200       0.023300       0.000000
48             49                    0.083400       0.129000       0.002400
49             50                    0.080100       0.128000       0.000000
50             51                    0.138600       0.220000       0.000000
29             52                    0.144200       0.187000       0.000000
52             53                    0.076200       0.098400       0.000000
53             54                    0.187800       0.232000       0.000000
53	       53                    0.0000 	    15.87302	   0
54             55                    0.173200       0.226500       0.000000
44             45                    0.062400       0.124200       0.002000
41             56                    0.553000       0.549000       0.000000
42             56                    0.212500       0.354000       0.000000
56             57                    0.174000       0.260000       0.000000
38             49                    0.115000       0.177000       0.003000
38             48                    0.031200       0.048200       0.000000
18		4		0.000000       	    0.242300       0.970000
29		7		0.000000       	    0.064800       0.967000
41		11		0.000000       	    0.749000       0.955000
51		10		0.000000       	    0.071200       0.930000
43		11		0.000000       	    0.153000       0.958000
55		9		0.000000       	    0.120500       0.940000
49		13		0.000000       	    0.191000       0.895000
45		15		0.000000       	    0.104200       0.955000
46		14		0.000000       	    0.073500       0.900000
20		21		0.000000       	    0.776700       1.043000
25		24		0.000000       	    0.602800       1.000000
26		24		0.000000       	    0.047300       1.043000 
32		34		0.000000       	    0.953000       0.975000                  
56		40		0.000000       	    1.195000       0.958000
57		39		0.000000       	    1.355000       0.980000

i		type		P         Q          	V
1                 0       0.000000       0.000000	1.040000
2                -1       0.000000       0.000000       1.010000
3                -1       0.400000       0.000000       0.985000
6                -1       0.000000       0.000000       0.980000
8                -1       4.500000       0.000000       1.005000
9                -1       0.000000       0.000000       0.980000
12               -1       3.100000       0.000000       1.015000
1     		  1    	  0.550000	 0.170000       0.000000
2                 1       0.030000       0.880000       0.000000
3                 1       0.410000       0.210000       0.000000
5                 1       0.130000       0.040000       0.000000
6                 1       0.750000       0.020000       0.980000
7                 1       0.000000       0.000000       0.000000
8                 1       1.500000       0.220000       0.000000
9                 1       1.210000       0.260000       0.980000
10                1       0.050000       0.020000       0.000000
12                1       3.770000       0.240000       0.000000
13                1       0.180000       0.023000       0.000000
14                1       0.105000       0.053000       0.000000
15                1       0.220000       0.050000       0.000000
16                1       0.430000       0.030000       0.000000
17                1       0.420000       0.080000       0.000000
18                1       0.272000       0.098000       0.000000
19                1       0.033000       0.006000       0.000000
20                1       0.023000       0.010000       0.000000
21                1       0.000000       0.000000       0.000000
22                1       0.000000       0.000000       0.000000
23                1       0.063000       0.021000       0.000000
25                1       0.063000       0.032000       0.000000
27                1       0.093000       0.005000       0.000000
28                1       0.046000       0.023000       0.000000
29                1       0.170000       0.026000       0.000000
30                1       0.036000       0.018000       0.000000
31                1       0.058000       0.029000       0.000000
32                1       0.016000       0.008000       0.000000
33                1       0.038000       0.019000       0.000000
35                1       0.060000       0.030000       0.000000
36                1       0.000000       0.000000       0.000000
38                1       0.140000       0.070000       0.000000
41                1       0.063000       0.030000       0.000000
42                1       0.071000       0.044000       0.000000
43                1       0.020000       0.010000       0.000000
44                1       0.120000       0.018000       0.000000
47                1       0.297000       0.116000       0.000000
49                1       0.180000       0.085000       0.000000
50                1       0.210000       0.105000       0.000000
51                1       0.180000       0.053000       0.000000
52                1       0.049000       0.022000       0.000000
53                1       0.200000       0.100000       0.000000
54                1       0.041000       0.014000       0.000000
55                1       0.068000       0.034000       0.000000
56                1       0.076000       0.022000       0.000000
57                1       0.067000       0.020000       0.000000
